listed_incity,Latitude,Longitude
Banashankari,12.9393328,77.5539819
Bannerghatta Road,12.9526598,77.60504805
Basavanagudi,12.9417261,77.5755021
Bellandur,12.92535245,77.67594106
Brigade Road,12.96735751,77.60643527
Brookefield,12.96381425,77.72243692
BTM,12.9163603,77.604733
Church Street,12.97491417,77.60524736
Electronic City,12.8487599,77.64825296
Frazer Town,12.9986827,77.615525
HSR,12.90056335,77.64947471
Indiranagar,12.9962979,77.5452778
Jayanagar,12.9399039,77.5826382
JP Nagar,12.9096941,77.5866067
Kalyan Nagar,13.0221416,77.6403368
Kammanahalli,13.0148544,77.6382029
Koramangala 4th Block,12.9327778,77.6294052
Koramangala 5th Block,12.9348429,77.6189768
Koramangala 6th Block,12.9390255,77.6238477
Koramangala 7th Block,12.9364846,77.6134783
Lavelle Road,12.96834011,77.59650668
Malleshwaram,13.0027353,77.5703253
Marathahalli,12.9552572,77.6984163
MG Road,12.9755264,77.6067902
New BEL Road,13.03918595,77.56428405
Old Airport Road,12.9606321,77.64249975
